"soiltype","component","variety","corr"
"topsoil",1,"arabica",0.00652550071564945
"topsoil",1,"robusta",0.00255190483999828
"topsoil",2,"arabica",0.0390232872247445
"topsoil",2,"robusta",-0.0566635538839524
"topsoil",3,"arabica",-0.0471369559212702
"topsoil",3,"robusta",0.110787520505564
"topsoil",4,"arabica",-0.0129811676256786
"topsoil",4,"robusta",-0.0555946048690686
"topsoil",5,"arabica",-0.00360108318197546
"topsoil",5,"robusta",-0.0238327673765718
"topsoil",6,"arabica",0.0545193498762009
"topsoil",6,"robusta",-0.00751120140630305
"botsoil",1,"arabica",0.0284556912402659
"botsoil",1,"robusta",-0.0167629344001451
"botsoil",2,"arabica",0.0401021361224578
"botsoil",2,"robusta",-0.0569076479460088
"botsoil",3,"arabica",-0.0937665251930353
"botsoil",3,"robusta",0.11043733912608
"botsoil",4,"arabica",-0.0180075518315631
"botsoil",4,"robusta",-0.00795284728718923
"botsoil",5,"arabica",-0.031670669316688
"botsoil",5,"robusta",0.000973588484818005
"botsoil",6,"arabica",0.0262081227781703
"botsoil",6,"robusta",-0.0419414869830926
