"soiltype1","soiltype2","component1","component2","corr"
"topsoil","topsoil",1,1,1
"topsoil","topsoil",1,2,-0.809671794755743
"topsoil","topsoil",1,3,-0.512689346251548
"topsoil","topsoil",1,4,-0.382396171346397
"topsoil","topsoil",1,5,-0.0191112409630553
"topsoil","topsoil",1,6,0.0240252761502871
"topsoil","topsoil",2,1,-0.809671794755743
"topsoil","topsoil",2,2,1
"topsoil","topsoil",2,3,0.131703104486945
"topsoil","topsoil",2,4,0.349670958198904
"topsoil","topsoil",2,5,-0.0564222734515692
"topsoil","topsoil",2,6,-0.0549972832834505
"topsoil","topsoil",3,1,-0.512689346251548
"topsoil","topsoil",3,2,0.131703104486945
"topsoil","topsoil",3,3,1
"topsoil","topsoil",3,4,-0.0290154429391269
"topsoil","topsoil",3,5,0.330802705397483
"topsoil","topsoil",3,6,0.28084911249606
"topsoil","topsoil",4,1,-0.382396171346397
"topsoil","topsoil",4,2,0.349670958198904
"topsoil","topsoil",4,3,-0.0290154429391269
"topsoil","topsoil",4,4,1
"topsoil","topsoil",4,5,-0.452943946839874
"topsoil","topsoil",4,6,-0.516278224299707
"topsoil","topsoil",5,1,-0.0191112409630553
"topsoil","topsoil",5,2,-0.0564222734515692
"topsoil","topsoil",5,3,0.330802705397483
"topsoil","topsoil",5,4,-0.452943946839874
"topsoil","topsoil",5,5,1
"topsoil","topsoil",5,6,0.669551757310814
"topsoil","topsoil",6,1,0.0240252761502871
"topsoil","topsoil",6,2,-0.0549972832834505
"topsoil","topsoil",6,3,0.28084911249606
"topsoil","topsoil",6,4,-0.516278224299707
"topsoil","topsoil",6,5,0.669551757310814
"topsoil","topsoil",6,6,1
"topsoil","botsoil",1,1,0.89021618796499
"topsoil","botsoil",1,2,-0.751592699819378
"topsoil","botsoil",1,3,-0.344267473196022
"topsoil","botsoil",1,4,-0.421760985995255
"topsoil","botsoil",1,5,-0.0699879037154047
"topsoil","botsoil",1,6,-0.00754881354706677
"topsoil","botsoil",2,1,-0.724522023564278
"topsoil","botsoil",2,2,0.971109616009403
"topsoil","botsoil",2,3,-0.023945519304061
"topsoil","botsoil",2,4,0.268894888645948
"topsoil","botsoil",2,5,-0.0348922292072677
"topsoil","botsoil",2,6,-0.0326806565320968
"topsoil","botsoil",3,1,-0.436072853966439
"topsoil","botsoil",3,2,0.0727924257022581
"topsoil","botsoil",3,3,0.872211548979065
"topsoil","botsoil",3,4,0.212561731947384
"topsoil","botsoil",3,5,0.396564136589271
"topsoil","botsoil",3,6,0.252781014921928
"topsoil","botsoil",4,1,-0.403351971055385
"topsoil","botsoil",4,2,0.37218749583151
"topsoil","botsoil",4,3,0.00914240163382424
"topsoil","botsoil",4,4,0.854014080715725
"topsoil","botsoil",4,5,-0.429320905409005
"topsoil","botsoil",4,6,-0.473449010821648
"topsoil","botsoil",5,1,0.0145836093558474
"topsoil","botsoil",5,2,-0.0243713387568428
"topsoil","botsoil",5,3,0.207726279830962
"topsoil","botsoil",5,4,-0.295693811934372
"topsoil","botsoil",5,5,0.905302355149957
"topsoil","botsoil",5,6,0.743939543319309
"topsoil","botsoil",6,1,0.113351379406975
"topsoil","botsoil",6,2,-0.0653165020057644
"topsoil","botsoil",6,3,0.0602784894726396
"topsoil","botsoil",6,4,-0.340574984316876
"topsoil","botsoil",6,5,0.594117078157963
"topsoil","botsoil",6,6,0.826280632996191
"botsoil","topsoil",1,1,0.89021618796499
"botsoil","topsoil",1,2,-0.724522023564278
"botsoil","topsoil",1,3,-0.436072853966439
"botsoil","topsoil",1,4,-0.403351971055385
"botsoil","topsoil",1,5,0.0145836093558474
"botsoil","topsoil",1,6,0.113351379406975
"botsoil","topsoil",2,1,-0.751592699819378
"botsoil","topsoil",2,2,0.971109616009403
"botsoil","topsoil",2,3,0.0727924257022581
"botsoil","topsoil",2,4,0.37218749583151
"botsoil","topsoil",2,5,-0.0243713387568428
"botsoil","topsoil",2,6,-0.0653165020057644
"botsoil","topsoil",3,1,-0.344267473196022
"botsoil","topsoil",3,2,-0.023945519304061
"botsoil","topsoil",3,3,0.872211548979065
"botsoil","topsoil",3,4,0.00914240163382424
"botsoil","topsoil",3,5,0.207726279830962
"botsoil","topsoil",3,6,0.0602784894726396
"botsoil","topsoil",4,1,-0.421760985995255
"botsoil","topsoil",4,2,0.268894888645948
"botsoil","topsoil",4,3,0.212561731947384
"botsoil","topsoil",4,4,0.854014080715725
"botsoil","topsoil",4,5,-0.295693811934372
"botsoil","topsoil",4,6,-0.340574984316876
"botsoil","topsoil",5,1,-0.0699879037154047
"botsoil","topsoil",5,2,-0.0348922292072677
"botsoil","topsoil",5,3,0.396564136589271
"botsoil","topsoil",5,4,-0.429320905409005
"botsoil","topsoil",5,5,0.905302355149957
"botsoil","topsoil",5,6,0.594117078157963
"botsoil","topsoil",6,1,-0.00754881354706677
"botsoil","topsoil",6,2,-0.0326806565320968
"botsoil","topsoil",6,3,0.252781014921928
"botsoil","topsoil",6,4,-0.473449010821648
"botsoil","topsoil",6,5,0.743939543319309
"botsoil","topsoil",6,6,0.826280632996191
"botsoil","botsoil",1,1,1
"botsoil","botsoil",1,2,-0.752255199344313
"botsoil","botsoil",1,3,-0.448990730227966
"botsoil","botsoil",1,4,-0.390711285678934
"botsoil","botsoil",1,5,-0.0309135488129427
"botsoil","botsoil",1,6,0.0645994331598003
"botsoil","botsoil",2,1,-0.752255199344313
"botsoil","botsoil",2,2,1
"botsoil","botsoil",2,3,-0.0139202417187538
"botsoil","botsoil",2,4,0.283582004401436
"botsoil","botsoil",2,5,0.0222951230578571
"botsoil","botsoil",2,6,-0.0106616163632848
"botsoil","botsoil",3,1,-0.448990730227966
"botsoil","botsoil",3,2,-0.0139202417187538
"botsoil","botsoil",3,3,1
"botsoil","botsoil",3,4,0.105332365922679
"botsoil","botsoil",3,5,0.265483510116479
"botsoil","botsoil",3,6,0.126684892794836
"botsoil","botsoil",4,1,-0.390711285678934
"botsoil","botsoil",4,2,0.283582004401436
"botsoil","botsoil",4,3,0.105332365922679
"botsoil","botsoil",4,4,1
"botsoil","botsoil",4,5,-0.24292653246016
"botsoil","botsoil",4,6,-0.342132092095599
"botsoil","botsoil",5,1,-0.0309135488129427
"botsoil","botsoil",5,2,0.0222951230578571
"botsoil","botsoil",5,3,0.265483510116479
"botsoil","botsoil",5,4,-0.24292653246016
"botsoil","botsoil",5,5,1
"botsoil","botsoil",5,6,0.69177764799314
"botsoil","botsoil",6,1,0.0645994331598003
"botsoil","botsoil",6,2,-0.0106616163632848
"botsoil","botsoil",6,3,0.126684892794836
"botsoil","botsoil",6,4,-0.342132092095599
"botsoil","botsoil",6,5,0.69177764799314
"botsoil","botsoil",6,6,1
