country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,harvlossperc,incconf,decconf,harvconf
Angola,127407,55805,-119242,93.133,-93.6,-49.8,-52830746,-41.0,86.211,96.372,38.734
Argentina,8039,5446,-3995,97.049,-49.7,18.0,0,nan,90.624,105.808,nan
Australia,2188,0,-2188,99.340,-100.0,-100.0,0,nan,nan,99.340,nan
Burundi,7630,631,-3437,85.652,-45.0,-36.8,-46459757,-20.2,74.232,87.748,28.534
Belize,82,0,-82,100.000,-100.0,-100.0,-1568,-0.4,nan,100.000,0.442
Bolivia,29180,2530,-7265,99.649,-24.9,-16.2,-390166,-2.4,97.355,100.448,3.927
Brazil,467603,48396,-388671,97.294,-83.1,-72.8,-3574607192,-33.1,84.800,98.850,33.120
Bhutan,0,1277,0,69.960,nan,inf,0,nan,69.960,nan,nan
Botswana,0,0,0,100.000,-100.0,-100.0,0,nan,nan,100.000,nan
Central African Republic,1243,0,-1243,100.000,-100.0,-100.0,-28626,-0.0,nan,100.000,0.048
Chile,3,2605,-3,109.678,-100.0,101475.4,0,nan,109.699,88.235,nan
China,4325,827,-3471,98.687,-80.3,-61.1,-94334590,-38.7,77.494,103.740,37.074
Côte d'Ivoire,162,0,-162,100.000,-100.0,-100.0,-2068857,-0.5,nan,100.000,0.459
Cameroon,14810,2578,-11931,94.163,-80.6,-63.2,-14085666,-25.4,74.684,98.372,25.894
Democratic Republic of the Congo,102530,5349,-86648,92.678,-84.5,-79.3,-153991165,-28.3,61.223,94.619,30.443
Republic of Congo,2772,0,-2772,100.000,-100.0,-100.0,-8033045,-34.2,nan,100.000,34.188
Colombia,83046,18930,-43099,93.865,-51.9,-29.1,-708854909,-17.3,95.375,93.201,22.110
Comoros,336,0,-336,100.000,-100.0,-100.0,0,nan,nan,100.000,nan
Cape Verde,40,0,-40,100.000,-100.0,-100.0,0,nan,100.000,100.000,nan
Costa Rica,7417,1231,-3843,98.529,-51.8,-35.2,-70417481,-10.3,95.673,99.444,16.576
Cuba,1364,0,-1364,98.609,-100.0,-100.0,-5125936,-4.5,nan,98.609,4.543
Dominican Republic,2253,337,-714,98.410,-31.7,-16.8,-9156779,-1.7,84.411,105.012,2.499
Ecuador,24363,3346,-10443,91.572,-42.9,-29.1,-34407999,-17.3,88.075,92.693,20.245
Eritrea,6289,59,-4148,98.646,-66.0,-65.0,0,nan,76.322,98.965,nan
Spain,0,1444,0,102.730,nan,inf,0,nan,102.730,nan,nan
Ethiopia,110077,24350,-72774,91.781,-66.1,-44.0,-884867036,-28.0,80.720,95.482,26.136
Fiji,708,0,-708,100.000,-100.0,-100.0,0,nan,17.655,100.000,nan
France,954,84,-154,101.270,-16.1,-7.3,0,nan,98.904,102.569,nan
Gabon,82,0,-82,100.000,-100.0,-100.0,-32,-0.5,nan,100.000,0.500
Guinea,1214,0,-1214,100.000,-100.0,-100.0,-20164788,-7.2,nan,100.000,7.197
Equatorial Guinea,2073,0,-2073,99.831,-100.0,-100.0,-175103,-7.4,nan,99.831,7.383
Guatemala,25256,2171,-9858,89.100,-39.0,-30.4,-309557613,-19.4,87.305,89.495,27.182
Guyana,4258,0,-3942,101.004,-92.6,-92.6,-42982,-2.8,nan,101.004,2.828
Honduras,23911,480,-14897,97.529,-62.3,-60.3,-359195697,-19.4,74.563,98.269,24.451
Haiti,2772,122,-1452,98.456,-52.4,-48.0,-100544237,-26.9,71.096,100.751,27.456
Indonesia,66513,8061,-42378,94.757,-63.7,-51.6,-471260213,-8.5,79.692,97.623,10.931
India,4036,1989,-2758,93.313,-68.3,-19.1,-3228363,-0.7,88.026,97.125,0.747
Jamaica,402,0,-321,91.017,-79.7,-79.7,-1859935,-6.1,nan,91.017,6.287
Kenya,54562,12505,-30759,90.173,-56.4,-33.5,-230604801,-24.2,85.388,92.119,28.263
Cambodia,0,0,0,100.000,-100.0,-100.0,0,-0.0,nan,100.000,0.001
Lao PDR,1823,0,-1823,100.548,-100.0,-100.0,-48902348,-19.0,87.198,100.548,17.582
Sri Lanka,1125,473,-544,95.901,-48.4,-6.3,-90759,-0.3,91.708,99.547,0.260
Lesotho,0,0,0,76.471,nan,inf,0,nan,76.471,nan,nan
Morocco,0,0,0,4.090,nan,inf,0,nan,4.090,nan,nan
Madagascar,171422,10574,-84156,97.699,-49.1,-42.9,-97398529,-17.1,91.562,98.470,28.066
Mexico,256585,36393,-132207,97.398,-51.5,-37.3,-1036355611,-20.9,94.768,98.122,24.114
Myanmar,1609,2,-1527,96.774,-94.9,-94.7,-4782950,-14.1,20.780,96.881,14.863
Mozambique,36853,1847,-32746,93.659,-88.9,-83.8,-1502665,-18.2,54.521,95.867,16.793
Mauritius,562,2,-403,104.530,-71.7,-71.3,0,nan,17.647,104.995,nan
Malawi,16431,2854,-14313,89.109,-87.1,-69.7,-230556,-1.1,52.889,96.332,1.008
Malaysia,7084,167,-6475,95.335,-91.4,-89.0,-408343,-0.5,71.239,95.958,0.469
Namibia,16565,5014,-14047,92.726,-84.8,-54.5,0,nan,82.398,96.412,nan
New Caledonia,2495,11,-2342,96.101,-93.9,-93.4,0,nan,41.279,96.354,nan
Nigeria,491,388,-481,73.895,-98.0,-19.1,-198466,-2.2,54.014,89.903,2.036
Nicaragua,6382,162,-5154,97.285,-80.8,-78.2,-75256373,-11.7,48.934,98.803,13.786
Nepal,0,0,0,64.710,nan,inf,0,0.0,64.710,nan,0.000
Panama,3534,526,-2006,93.423,-56.8,-41.9,-26714476,-18.5,89.606,94.425,26.580
Peru,41490,28440,-24830,91.381,-59.8,8.7,-193350169,-13.7,90.198,92.736,11.886
Philippines,13682,882,-9876,94.140,-72.2,-65.7,-3065496,-4.5,71.577,96.155,4.396
Papua New Guinea,71582,4315,-30073,95.602,-42.0,-36.0,-33501099,-10.7,80.907,97.710,19.176
Puerto Rico,1713,0,-1387,101.471,-81.0,-81.0,-59218040,-34.6,23.529,101.471,44.594
Paraguay,69,0,-69,100.000,-100.0,-100.0,-2,-0.0,nan,100.000,0.000
Rwanda,8306,1155,-4656,81.118,-56.1,-42.2,-26129212,-7.4,92.075,78.401,14.296
Saudi Arabia,8076,0,-7715,99.249,-95.5,-95.5,0,nan,nan,99.249,nan
South Sudan,2054,157,-1315,94.599,-64.0,-56.4,0,nan,90.911,95.040,nan
Solomon Islands,544,77,-537,97.262,-98.8,-84.7,0,nan,76.471,100.230,nan
Sierra Leone,0,0,0,100.000,-100.0,-100.0,-29532,-0.0,nan,100.000,0.050
El Salvador,993,108,-816,88.090,-82.2,-71.3,-332596161,-33.5,79.494,89.229,32.838
Somaliland,8202,218,-8051,99.164,-98.2,-95.5,0,nan,69.235,99.976,nan
Somalia,1188,42,-1188,96.130,-100.0,-96.5,0,nan,0.000,99.535,nan
São Tomé and Principe,258,0,-172,100.000,-66.7,-66.7,0,nan,nan,100.000,nan
Swaziland,1359,77,-976,86.453,-71.8,-66.2,0,nan,80.529,86.920,nan
Thailand,1461,0,-1461,100.000,-100.0,-100.0,-3284,-0.1,48.529,100.000,0.116
Timor-Leste,2347,161,-1846,98.007,-78.7,-71.8,-27225830,-11.7,99.980,97.834,11.894
Taiwan,311,1245,-311,87.794,-100.0,299.7,0,nan,85.878,95.452,nan
Tanzania,116634,15960,-90007,96.232,-77.2,-63.5,-128411090,-19.6,83.895,98.420,19.215
Uganda,64917,514,-59371,99.498,-91.5,-90.7,-555266144,-59.0,69.585,99.757,58.389
United States,6898,462,-6251,97.393,-90.6,-83.9,-7029010,-68.1,67.539,99.598,68.137
Venezuela,29979,1619,-19801,98.746,-66.0,-60.6,-25794870,-3.4,82.535,100.072,4.955
Vietnam,14229,308,-12399,94.300,-87.1,-85.0,-17861817,-1.9,80.444,94.644,1.853
Vanuatu,297,2,-215,99.413,-72.4,-71.9,0,nan,47.059,99.814,nan
Yemen,29532,121,-21319,98.805,-72.2,-71.8,-56567849,-27.3,60.988,99.019,30.629
South Africa,27993,5446,-23810,101.556,-85.1,-65.6,0,nan,92.948,103.525,nan
Zambia,84373,1209,-83793,95.530,-99.3,-97.9,-18743250,-34.1,1.219,96.891,33.985
Zimbabwe,7892,208,-7631,97.841,-96.7,-94.1,-13476447,-30.7,50.647,99.127,25.572
World,2259240.0,321692.0,-1596567.0,95.711,-70.7,-56.4,inf,-21.4,inf,116.062,0.233
